,,,,,,,,,,,
1200,Direktion für Sicherheit^^^ Umwelt und Energie (SUE),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Direktion für Sicherheit^^^ Umwelt und Energie (SUE),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1200,Direktion für Sicherheit^^^ Umwelt und Energie (SUE),,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,132^^^087^^^983.11,,129^^^175^^^178.51,126^^^123^^^144.56,,120^^^910^^^717.86,,,
,,,,,,,,,,,
,Erlöse,,89^^^799^^^322.45,,111^^^960^^^919.76,111^^^481^^^535.27,,119^^^313^^^250.94,,,
,,,,,,,,,,,
,Nettokosten,,42^^^288^^^660.66,,17^^^214^^^258.75,14^^^641^^^609.29,,1^^^597^^^466.92,,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,68.0%,,86.7%,88.4%,,98.7%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Dienststelle,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
200,Direktionsstabsdienste (light),3^^^203^^^928.47,2%,,917^^^241.64,1%,,2^^^286^^^686.83,,2^^^278^^^507.37,0%
,,,,,,,,,,,
210,Kantonspolizei,31^^^475^^^094,24%,,0.00,0%,,31^^^475^^^094,,30^^^195^^^137,4%
,,,,,,,,,,,
220,Amt für Umweltschutz,6^^^572^^^380.6,5%,,1^^^831^^^930.68,2%,,4^^^740^^^449.92,,5^^^533^^^705.68,-14%
,,,,,,,,,,,
230,Polizeiinspektorat,17^^^936^^^285.76,14%,,13^^^035^^^419.25,15%,,4^^^900^^^866.51,,5^^^150^^^213.71,-5%
,,,,,,,,,,,
240,Sanitätspolizei,19^^^240^^^366.18,15%,,19^^^251^^^035.4,21%,,-10^^^669.2199999988,,-458^^^277.91,-98%
,,,,,,,,,,,
250,Feuerwehr^^^ Zivilschutz und Quartieramt,26^^^158^^^215.16,20%,,6^^^223^^^837.64,7%,,19^^^934^^^377.52,,19^^^882^^^785.23,0%
,,,,,,,,,,,
260,Wirtschaftsamt,4^^^091^^^820.48,3%,,408^^^904.64,0%,,3^^^682^^^915.84,,3^^^897^^^501.12,-6%
,,,,,,,,,,,
270,Tierpark,9^^^841^^^066.66,7%,,2^^^760^^^880.64,3%,,7^^^080^^^186.02,,7^^^081^^^938.19,-0%
,,,,,,,,,,,
280,Amt für Erwachsenen- und Kindesschutz,13^^^568^^^825.8,10%,,2^^^370^^^072.56,3%,,11^^^198^^^753.24,,10^^^652^^^748.36,5%
,,,,,,,,,,,
290,Energie Wasser Bern (ewb),0.00,0%,,43^^^000^^^000,48%,,-43^^^000^^^000,,-67^^^000^^^000,-36%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1200,Direktion für Sicherheit^^^ Umwelt und Energie (SUE),,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1200,Direktion für Sicherheit^^^ Umwelt und Energie (SUE),,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1200,Direktion für Sicherheit^^^ Umwelt und Energie (SUE),,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
