"Departement";"Code";"Dienstabteilung";"Konto";"Bezeichnung";"Rechnung 2011 Fr.";"Budget 2012 Fr.";"Budget 2013 Fr.";"Abweichung zum Vorjahr Fr.";"Bezeichnung (sofern gemäss Art. 4 FVO erforderlich)"
"Behörden und Gesamtverwaltung";1000;" Gemeinde";;"Aufwand";"5’137’503.55";"3’772’000";"4’176’000";"-404’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";;"Ertrag";"-102’208.15";"-20’000";"-20’000";;
"Behörden und Gesamtverwaltung";1000;" Gemeinde";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"5’035’295.40";"3’752’000";"+4’156’000";"-404’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3001 0000";"Vergütungen an Behörden und Kommissionen";"2’133’181.30";"1’050’000";"1’200’000";"-150’000";"Mehr Abstimmungsvorlagen je Urnengang und Mehrfachvorlagen erfordern einen Mehraufwand im Wahlbüro."
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3100 0000";"Büromaterial";"1’654.00";"2’000";"2’000";;
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";"92’691.20";"85’000";"110’000";"-25’000";"Höherer Druckaufwand aufgrund wachsender Anzahl an Abstimmungs- und Mehrfachvorlagen."
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3102 0000";"Fachliteratur und Zeitschriften";;"1’000";"1’000";;
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3106 0000";"Amtliche Publikationen";"60’377.60";"60’000";"70’000";"-10’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3112 0000";"Anschaffungen IT-Anlagen Hardware";"8’398.50";"10’000";"25’000";"-15’000";"Ersatz Wahlbüro-Notebooks, 1. Etappe"
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3113 0000";"Anschaffungen IT-Anlagen Software";"1’055.95";"5’000";"20’000";"-15’000";"Software im Zusammenhang mit Kto. 3112"
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3119 0000";"Anschaffungen übrige Mobilien";"4’905.70";"25’000";"65’000";"-40’000";"Ersatz Beschriftungen Stimmlokale 1. Etappe, Ersatz Wahlurnen"
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";;;"1’500";"-1’500";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3152 0000";"Unterhalt IT-Anlagen Hardware";;;"1’500";"-1’500";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3159 0000";"Unterhalt übrige Mobilien";194.4;"20’000";"10’000";"+10’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3160 0000";"Miete und Pacht von Liegenschaften";"2’968.40";"4’000";"6’000";"-2’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"1’964.30";"2’000";"2’000";;
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"138’558.55";"198’000";"150’000";"+48’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3181 0101";"Postgebühren für Abstimmungsvorlagen, Stimmrechtsausweise usw.";"1’331’431.45";"1’000’000";"1’190’000";"-190’000";"Mehr Abstimmungsvorlagen je Urnengang und Mehrfachvorlagen sowie umfangreiche Abstimmungszeitungen erhöhen die Portokosten."
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";;;"2’000";"-2’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3300 0000";"Abschreibungen von Guthaben des FV";900;;;;
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"689’992.00";"580’000";"590’000";"-10’000";
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"451’246.05";"600’000";"600’000";;
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"3980 0681";"Vergütung an IMMO für Dienstleistungen des Regiebetriebes";"217’984.15";"130’000";"130’000";;
