,ÜBERSICHT ÜBER DIE GLOBALBUDGETS DER DIENSTSTELLEN,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Nettokosten,,,,
,VERWALTUNGSDIREKTIONEN,,,,"Budget
2012","Budget
2011","Rechnung
2010",,
,,,,,,,,,
,1000,GEMEINDE UND BEHÖRDEN,,,"11,769,340.82","12,329,207.48","12,519,914.00",,
,,010,Stadtrat*,,"1,842,309.20","1,894,810.00","1,788,612.91",,
,,,PG010000,Stadtrat*,"909,687.25","890,988.77","840,512.65",,
,,,PG010100,Ratssekretariat*,"932,621.95","1,003,821.23","948,100.26",,
,,020,Ombudsstelle,,"390,638.64","388,114.54","325,454.18",,
,,,PG020000,Ombudstätigkeit und Datenschutz,"390,638.64","388,114.54","325,454.18",,
,,030,Gemeinderat*,,"3,242,764.00","3,111,292.60","3,234,926.69",,
,,,PG030000,Gemeinderat*,"3,242,764.00","3,111,292.60","3,234,926.69",,
,,040,Stadtkanzlei,,"5,255,676.01","4,754,175.35","5,319,137.57",,
,,,PG040000,Leistungen für Politik und Verwaltungsführung*,"1,954,989.87","1,868,183.81","1,810,764.94",,
,,,PG040100,Dienstleistungen für Dritte*,"1,975,919.22","1,662,438.34","1,669,350.67",,
,,,PG040200,Stadtarchiv,"1,324,766.92","1,223,553.20","1,224,645.19",,
,,,PG040300,Arbeitsgericht*,0.00,0.00,"218,967.68",,
,,,PG040400,Mietamt*,0.00,0.00,"395,409.09",,
,,050,Informationsdienst*,,"1,037,952.97","1,026,154.75","822,290.13",,
,,,PG050000,Informationsdienst*,"1,037,952.97","1,026,154.75","822,290.13",,
,,060,Finanzinspektorat*,,0.00,"1,154,660.24","1,029,492.52",,
,,,PG060000,Revision*,0.00,"1,154,660.24","1,029,492.52",,
,,,,,,,,,
,1100,PRÄSIDIALDIREKTION,,,"47,943,764.71","47,714,790.60","45,176,344.25",,
,,100,"Direktionsstabsdienste, Gleichstellung
und Rechtsdienst",,"3,897,446.95","4,406,823.04","3,588,647.86",,
,,,PG100100,Leistungen für Politik und Verwaltungsführung*,"1,827,238.27","2,310,353.59","1,552,807.14",,
,,,PG100200,Zentrale Dienste*,"1,249,703.61","1,219,930.00","1,191,483.54",,
,,,PG100300,Gleichstellung,"455,825.03","416,607.45","395,069.98",,
,,,PG100500,"Enteignungen, Bausperren*","364,680.04","459,932.00","449,287.20",,
,,110,Abteilung Kulturelles,,"34,674,699.81","33,816,105.25","33,336,004.62",,
,,,PG110000,Kulturförderung,"34,674,699.81","33,816,105.25","33,336,004.62",,
,,120,Denkmalpflege,,"696,320.82","682,876.90","678,005.73",,
,,,PG120000,Denkmalpflege,"696,320.82","682,876.90","678,005.73",,
,,130,Abteilung Stadtentwicklung,,"2,233,275.05","2,446,884.14","2,297,948.99",,
,,,PG130100,Stadtentwicklung und Statistik,"2,233,275.05","2,446,884.14","2,297,948.99",,
,,150,Bauinspektorat,,"1,937,833.33","1,868,310.62","1,113,794.99",,
,,,PG150000,"Baurechtliche Bewilligungsverfahren /
Voranfragen","1,368,955.59","1,305,688.39","609,838.33",,
,,,PG150100,Beschwerden / Widerrechtliches Bauen,"191,443.96","189,256.20","113,036.01",,
,,,PG150200,"Baurechtliche Auskünfte und Stellung-
nahmen / Archiv","377,433.78","373,366.03","390,920.65",,
,,170,Stadtplanungsamt*,,"4,504,188.75","4,493,790.65","4,161,942.06",,
,,,PG170500,Stadtplanung*,"4,504,188.75","4,493,790.65","4,161,942.06",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,1200,"DIREKTION FÜR SICHERHEIT, UMWELT
UND ENERGIE",,,"42,438,660.66","17,214,258.75","14,641,609.29",,
,,200,Direktionsstabsdienste*,,"2,286,686.83","2,278,507.37","2,429,130.12",,
,,,PG200100,Leistungen für Politik und Verwaltungsführung*,"1,083,776.99","1,116,725.00","1,060,407.51",,
,,,PG200200,Stabsdienstleistungen*,"1,202,909.84","1,161,782.37","1,368,722.61",,
,,210,Kantonspolizei,,"31,475,094.00","30,195,137.00","29,739,803.10",,
,,,PG210100,Kantonspolizei,"31,475,094.00","30,195,137.00","29,739,803.10",,
,,220,Amt für Umweltschutz,,"4,890,449.92","5,533,705.68","4,843,217.03",,
,,,PG220100,Umweltschutz,"4,890,449.92","5,533,705.68","4,843,217.03",,
,,230,Polizeiinspektorat,,"4,900,866.51","5,150,213.71","4,387,503.12",,
,,,PG230100,Dienstleistungen,"733,979.24","2,993,390.21","1,962,981.19",,
,,,PG230200,Ruhe und Ordnung,"-1,597,032.61","-1,181,361.93","-2,136,196.96",,
,,,PG230300,"Gewerbe, Betrieb und Markt","-66,763.05","-248,173.14","-88,540.40",,
,,,PG230400,Regelung des Einwohnerwesens,"5,830,682.93","3,586,358.57","4,649,259.29",,
,,240,Sanitätspolizei,,"-10,669.22","-458,277.91","-563,425.34",,
,,,PG240100,Hilfeleistungen,0.00,"-447,461.27","-558,682.66",,
,,,PG240200,Übrige Dienstleistungen,"-10,669.22","-10,816.64","-4,742.68",,
,,250,"Feuerwehr, Zivilschutz und Quartieramt",,"19,934,377.52","19,882,785.23","18,738,084.60",,
,,,PG250100,Feuerwehraufgaben,"13,650,191.74","13,519,153.94","12,828,105.70",,
,,,PG250200,Hilfe- und Dienstleistungen,"521,117.57","628,758.80","597,612.68",,
,,,PG250300,Zivilschutz,"4,012,022.09","3,935,053.64","3,896,324.40",,
,,,PG250400,Quartieramt,"1,751,046.12","1,799,818.85","1,416,041.82",,
,,260,Wirtschaftsamt,,"3,682,915.84","3,897,501.12","3,970,466.37",,
,,,PG260100,Wirtschaftsförderung,"3,682,915.84","3,897,501.12","3,970,466.37",,
,,270,Tierpark,,"7,080,186.02","7,081,938.19","6,995,735.11",,
,,,PG270100,Tierpark,"7,080,186.02","7,081,938.19","6,995,735.11",,
,,280,Amt für Erwachsenen- und Kindesschutz,,"11,198,753.24","10,652,748.36","9,101,095.18",,
,,,PG280100,Vormundschaftspflege,"1,628,059.60","1,728,259.57","1,560,679.07",,
,,,PG280200,Schutz von Erwachsenen und Kindern,"8,420,517.60","7,597,836.79","6,429,524.83",,
,,,PG280300,Erbgangssicherung,"1,150,176.04","1,326,652.00","1,110,891.28",,
,,290,Energie Wasser Bern (ewb),,"-43,000,000.00","-67,000,000.00","-65,000,000.00",,
