,,,,,,,,,,,
1300,"Direktion für Bildung, Soziales und Sport (BSS)",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Direktion für Bildung, Soziales und Sport (BSS)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1300,"Direktion für Bildung, Soziales und Sport (BSS)",,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2013,,2012,2011,,2010,,,
,Bruttokosten,,"498,535,174.95",,"484,393,956.35","466,585,157.62",,"469,058,591.77",,,
,,,,,,,,,,,
,Erlöse,,"263,701,481.72",,"247,739,098.25","238,072,128.57",,"253,703,896.22",,,
,,,,,,,,,,,
,Nettokosten,,"234,833,693.23",,"236,654,858.10","228,513,029.05",,"215,354,695.55",,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,52.9%,,51.1%,51.0%,,54.1%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Dienststelle,Bruttokosten 2013,,,Erlös 2013,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2013 / Fr.,,2012 / Fr.,2013/2012 %
300,"Direktionsstabsdienste, Koordinationsstelle Sucht und Kompetenzzentrum Integration","77,576,111.46",16%,,"140,171,387.34",53%,,"-62,595,275.88",,"-54,494,104.35",15%
,,,,,,,,,,,
310,Sozialamt,"150,901,285.33",30%,,"50,857,022.69",19%,,"100,044,262.64",,"91,277,917.60",10%
,,,,,,,,,,,
320,Schulamt,"113,210,273.85",23%,,"22,351,645.24",8%,,"90,858,628.61",,"95,583,131.92",-5%
,,,,,,,,,,,
330,Jugendamt,"61,256,046.20",12%,,"15,026,292.78",6%,,"46,229,753.42",,"44,484,638.02",4%
,,,,,,,,,,,
