level_0_id,level_0_name,level_1_id,level_1_name,level_2_id,level_2_name,level_3_id,level_3_name,value_expense_budgets_2014,value_revenue_budgets_2014,value_expense_budgets_2013,value_revenue_budgets_2013,value_expense_accounts_2012,value_revenue_accounts_2012
1000,Gemeinde und Behörden,010,Stadtrat,PG010000,Stadtrat,P010010,Stadtrat,814545.58,0.00,874811.62,0.00,906709.06,130.00
1000,Gemeinde und Behörden,010,Stadtrat,PG010100,Ratssekretariat,P010110,Sitzungsmanagement,591379.68,7628.30,603655.14,8335.00,597615.27,9012.30
1000,Gemeinde und Behörden,010,Stadtrat,PG010100,Ratssekretariat,P010120,Dienstleistungen,320748.30,0.00,327406.10,0.00,355643.10,0.00
1000,Gemeinde und Behörden,020,Ombudsstelle,PG020000,Ombudstätigkeit und Datenschutz,P020010,Ombudstätigkeit,298809.75,2310.44,314805.18,2286.96,280437.63,2296.56
1000,Gemeinde und Behörden,020,Ombudsstelle,PG020000,Ombudstätigkeit und Datenschutz,P020020,Datenschutz,74702.40,577.56,78701.16,571.74,91771.70,574.14
1000,Gemeinde und Behörden,030,Gemeinderat,PG030000,Gemeinderat,P030010,Gemeinderat,2404157.21,243983.00,2729612.50,265000.00,2162882.04,281504.90
1000,Gemeinde und Behörden,030,Gemeinderat,PG030000,Gemeinderat,P030020,Beiträge,1150400.00,0.00,1345400.00,0.00,1276144.95,0.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040010,Beziehungspflege und Repräsentation,281599.10,65072.37,287769.64,7755.12,424374.42,67179.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040020,Administrative Dienstleistungen,821330.82,41795.49,806646.07,4981.08,882076.36,35269.25
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040030,Rechtliche Dienstleistungen,539731.68,3086.40,513320.24,367.80,718543.57,62815.28
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040040,E-Government,211199.36,0.00,274438.24,0.00,115317.60,0.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040100,Politische Rechte,P040110,Abstimmungen und Wahlen,1703983.92,116147.23,1464656.46,39722.30,1862750.64,13210.07
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040100,Politische Rechte,P040120,Initiativen und Referenden,170000.00,0.00,0.00,0.00,0.00,0.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040200,Stadtarchiv,P040210,Archivierung,895370.78,50400.04,976567.19,47883.98,971368.58,32694.66
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040200,Stadtarchiv,P040220,Information,525852.79,29599.96,573539.48,28122.32,387488.62,19932.59
1000,Gemeinde und Behörden,050,Informationsdienst,PG050000,Informationsdienst,P050010,Information (Medien und Internet),715905.18,5595.36,754369.86,5493.50,647324.06,21369.69
1000,Gemeinde und Behörden,050,Informationsdienst,PG050000,Informationsdienst,P050020,Beratung/Unterstützung/Schulung GR/Verw.,238635.00,1865.08,251456.49,1831.20,323497.93,7123.21
1000,Gemeinde und Behörden,060,Finanzinspektorat,PG060000,Revision,P060010,"Revision verrechenbar, Stiftungsaufsicht",0.00,0.00,0.00,0.00,0.00,0.00
1000,Gemeinde und Behörden,060,Finanzinspektorat,PG060000,Revision,P060020,Revision nicht verrechenbar,0.00,0.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100100,Leistungen für Politik und Verw'führung,P100110,Führungsunterstützung,1722794.22,181476.95,1920313.16,225548.90,3923327.46,2089184.78
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100100,Leistungen für Politik und Verw'führung,P100150,Grossanlässe,0.00,0.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100210,Finanzwesen,448156.86,6500.00,446224.98,6100.04,345220.73,8796.82
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100220,Personalwesen,376451.70,5459.96,374828.87,5124.00,490953.26,25932.55
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100230,Informatikkoordination,38963.16,129.96,38924.52,122.04,34118.77,70.21
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100240,Ausbildungswesen,462826.84,25910.08,446334.33,21590.92,439321.23,29603.02
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100300,Gleichstellung,P100310,Gleichstellungsprojekte,206553.41,1733.00,214510.37,2043.30,258524.04,1526.97
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100300,Gleichstellung,P100320,Auskunft und Beratung,123932.00,1039.80,128706.14,1225.98,98331.92,916.19
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100300,Gleichstellung,P100330,Öffentlichkeitsarbeit,82621.21,693.20,85804.02,817.22,98645.36,610.74
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100500,"Enteignungen, Bausperren",P100510,"Enteignungen, Bausperren usw.",235202.03,0.00,331787.74,0.00,343143.30,0.00
1100,Präsidialdirektion,110,Abteilung Kulturelles,PG110000,Kulturförderung,P110020,Beiträge direkte Förderung,3673328.39,585613.20,3698353.25,502370.04,4652328.03,819875.11
1100,Präsidialdirektion,110,Abteilung Kulturelles,PG110000,Kulturförderung,P110030,Abgeltung Leistungsverträge,26918198.52,617452.20,31887928.33,616793.96,31464734.94,675379.09
1100,Präsidialdirektion,120,Denkmalpflege,PG120000,Denkmalpflege,P120010,Baugesuche / Restaurierungen,831108.90,359291.62,831182.71,316249.76,920293.65,360963.82
1100,Präsidialdirektion,120,Denkmalpflege,PG120000,Denkmalpflege,P120020,Grundlagenarbeit,307396.46,132888.68,307423.78,116969.04,245084.13,110763.18
1100,Präsidialdirektion,130,Aussenbeziehungen und Statistik,PG130100,Aussenbeziehungen und Statistik,P130130,Aussenbeziehungen,501046.80,3610.80,1114667.91,7374.60,978061.52,27177.96
1100,Präsidialdirektion,130,Aussenbeziehungen und Statistik,PG130100,Aussenbeziehungen und Statistik,P130140,Grundlagen und politisches Controlling,237544.60,1666.50,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,130,Aussenbeziehungen und Statistik,PG130100,Aussenbeziehungen und Statistik,P130210,Dienstleistungen Statistik,1123764.49,37448.35,1168785.49,36725.00,1096756.20,66494.69
1100,Präsidialdirektion,140,Hochbauamt,PG140100,Hochbauamt,P140110,Dienstleistungen,302411.52,93960.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,140,Hochbauamt,PG140100,Hochbauamt,P140120,Bauherrenleistungen,3729742.63,1158840.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,140,Hochbauamt,PG140100,Hochbauamt,P140130,Wettbewerbe,1008038.60,313200.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,150,Bauinspektorat,PG150000,Baurechtl. Bewilligungsverf./Voranfragen,P150010,Baugesuche,3773521.07,2753995.08,3631589.26,2347953.00,4347269.96,3742656.32
1100,Präsidialdirektion,150,Bauinspektorat,PG150000,Baurechtl. Bewilligungsverf./Voranfragen,P150020,Plakatreklamegesuche,122740.18,164575.92,339324.04,365305.20,103044.85,80534.20
1100,Präsidialdirektion,150,Bauinspektorat,PG150000,Baurechtl. Bewilligungsverf./Voranfragen,P150050,Voranfragen,50789.04,13272.24,51707.28,12172.68,29633.02,16130.68
1100,Präsidialdirektion,150,Bauinspektorat,PG150100,Beschwerden / Widerrechtliches Bauen,P150110,Beschwerden,76183.56,0.00,77560.80,0.00,48233.01,4850.00
1100,Präsidialdirektion,150,Bauinspektorat,PG150100,Beschwerden / Widerrechtliches Bauen,P150120,Widerrechtliches Bauen / Nutzungskontr.,131205.01,18581.16,133576.80,17041.56,115206.54,361.44
