Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2011
Kosten
(inkl. Kosten Staatsbeiträge)
","Rechnung 2011
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"
Voranschlag 2011
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2011
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)
",DB IV
Soziale Wohlfahrt,Volkswirtschaftsdirektion,Arbeitslosenversicherung,18.4,2.5,-16.0,21.4,1.8,-19.6
Umwelt / Raumordnung,Volkswirtschaftsdirektion,Schutz vor Naturgefahren,5.6,1.8,-3.7,6.6,1.5,-5.1
Umwelt / Raumordnung,Volkswirtschaftsdirektion,Immissionsschutz,5.8,1.9,-3.9,5.7,1.7,-4.0
Volkswirtschaft,Volkswirtschaftsdirektion,Führungsunterstützung,11.3,.5,-10.8,15.3,.6,-14.8
Volkswirtschaft,Volkswirtschaftsdirektion,Landwirtschaft,74.1,27.6,-46.5,73.2,25.8,-47.4
Volkswirtschaft,Volkswirtschaftsdirektion,Natur,28.6,10.1,-18.5,28.3,10.7,-17.7
Volkswirtschaft,Volkswirtschaftsdirektion,Staatsforstbetrieb,12.8,10.9,-1.9,12.1,10.1,-2.0
Volkswirtschaft,Volkswirtschaftsdirektion,Walderhaltung und Waldbewirtschaftung,29.7,8.1,-21.6,30.5,6.9,-23.6
Volkswirtschaft,Volkswirtschaftsdirektion,Tourismus und Regionalentwicklung,17.4,5.8,-11.6,21.3,6.2,-15.1
Volkswirtschaft,Volkswirtschaftsdirektion,Wirtschaftsförderung,11.2,.1,-11.1,12.7,.1,-12.6
Volkswirtschaft,Volkswirtschaftsdirektion,Arbeitsbedingungen,8.2,5.3,-3.0,8.2,3.6,-4.6
Allgem. Verwaltung,Staatskanzlei,Führungsunterstützung,7.2,.5,-6.7,7.9,.7,-7.2
Allgem. Verwaltung,Staatskanzlei,"Sprachliche Minderheit, rechtliche Dienstleistungen und Aussenbeziehungen",4.0,.1,-3.9,3.8,.0,-3.8
Allgem. Verwaltung,Staatskanzlei,Kommunikation,3.1,.0,-3.1,3.4,.0,-3.4
Allgem. Verwaltung,Staatskanzlei,Archiv,2.8,.0,-2.7,2.9,.0,-2.8
Allgem. Verwaltung,Staatskanzlei,Entscheidunterstützung für den Grossen Rat,1.6,.0,-1.6,1.5,.0,-1.5
Allgem. Verwaltung,Staatskanzlei,Gleichstellung,.5,.0,-.5,.6,.0,-.6
Öffentliche Sicherheit,Polizei- und Militärdirektion,"Führungsunterstützung, Verwaltungsrechtspflege und Fonds",8.1,3.3,-4.8,8.1,2.7,-5.5
Öffentliche Sicherheit,Polizei- und Militärdirektion,Polizei,380.3,107.0,-273.3,386.6,109.6,-277.0
Öffentliche Sicherheit,Polizei- und Militärdirektion,Strassenverkehr und Schifffahrt,43.9,406.6,362.7,47.1,395.0,347.9
Öffentliche Sicherheit,Polizei- und Militärdirektion,Freiheitsentzug und Betreuung (Erwachsene und Jugendliche),124.4,69.2,-55.2,127.2,66.7,-60.6
