Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Rechnung 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"Voranschlag 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV
Soziale Wohlfahrt,Volkswirtschaftsdirektion,Arbeitslosenversicherung,17.5,2.4,-15.1,20.3,1.8,-18.5
Umwelt / Raumordnung,Volkswirtschaftsdirektion,Schutz vor Naturgefahren,5.2,1.5,-3.6,6.0,1.4,-4.6
Umwelt / Raumordnung,Volkswirtschaftsdirektion,Immissionsschutz,5.0,1.7,-3.3,5.4,1.7,-3.7
Volkswirtschaft,Volkswirtschaftsdirektion,Führungsunterstützung,11.1,.7,-10.4,13.7,.6,-13.2
Volkswirtschaft,Volkswirtschaftsdirektion,Landwirtschaft,68.4,26.7,-41.7,73.8,27.3,-46.4
Volkswirtschaft,Volkswirtschaftsdirektion,Natur,26.2,10.1,-16.0,29.0,10.2,-18.8
Volkswirtschaft,Volkswirtschaftsdirektion,Staatsforstbetrieb,12.1,10.2,-1.9,12.0,10.2,-1.9
Volkswirtschaft,Volkswirtschaftsdirektion,Walderhaltung und Waldbewirtschaftung,31.0,7.7,-23.3,28.7,6.5,-22.2
Volkswirtschaft,Volkswirtschaftsdirektion,Tourismus und Regionalentwicklung,16.5,6.0,-10.5,22.5,6.2,-16.3
Volkswirtschaft,Volkswirtschaftsdirektion,Wirtschaftsförderung,11.8,.2,-11.6,11.9,.1,-11.8
Volkswirtschaft,Volkswirtschaftsdirektion,Arbeitsbedingungen,7.6,5.1,-2.5,7.9,4.2,-3.7
Allgemeine Verwaltung,Staatskanzlei,Führungsunterstützung,6.2,.5,-5.7,6.9,.7,-6.2
Allgemeine Verwaltung,Staatskanzlei,"Sprachliche Minderheit, rechtliche Dienstleistungen und Aussenbeziehungen",3.9,.1,-3.8,3.8,.1,-3.7
Allgemeine Verwaltung,Staatskanzlei,Kommunikation,2.7,.0,-2.7,3.0,.0,-3.0
Allgemeine Verwaltung,Staatskanzlei,Archiv,2.8,.0,-2.7,2.9,.0,-2.9
Allgemeine Verwaltung,Staatskanzlei,Entscheidunterstützung für den Grossen Rat,1.7,.0,-1.7,1.7,.0,-1.7
Allgemeine Verwaltung,Staatskanzlei,Gleichstellung,.5,.0,-.5,.5,.0,-.5
Öffentliche Sicherheit,Polizei- und Militärdirektion,"Führungsunterstützung, Verwaltungsrechtspflege und Fonds",7.9,3.0,-4.9,8.0,2.6,-5.4
Öffentliche Sicherheit,Polizei- und Militärdirektion,Polizei,374.6,107.5,-267.1,382.5,114.1,-268.4
Öffentliche Sicherheit,Polizei- und Militärdirektion,Strassenverkehr und Schifffahrt,41.9,413.9,372.0,45.5,404.7,359.3
Öffentliche Sicherheit,Polizei- und Militärdirektion,Freiheitsentzug und Betreuung (Erwachsene und Jugendliche),127.3,71.1,-56.2,133.5,72.7,-60.8
Öffentliche Sicherheit,Polizei- und Militärdirektion,Migration und Personen-stand,128.7,117.2,-11.5,101.6,80.7,-20.9
Öffentliche Sicherheit,Polizei- und Militärdirektion,"Bevölkerungsschutz, Sport und Militär",16.4,13.4,-3.0,18.1,9.8,-8.3
Allgemeine Verwaltung,"Justiz-, Gemeinde- und Kirchendirektion",Unterstützung und Aufsicht Gemeinden,2.6,.1,-2.5,5.3,.1,-5.2
Kultur / Freizeit,"Justiz-, Gemeinde- und Kirchendirektion",Pfarramtliche Versorgung der Kirchgemeinden und Beziehung zwischen Kirche und Staat,74.9,.8,-74.1,75.2,.7,-74.5
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Führungsunterstützung,1.7,.0,-1.7,1.9,.0,-1.9
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Ressourcenverwaltung für die Ämter,19.0,.0,-19.0,19.0,.0,-19.0
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Steuerung der dezentralen kantonalen Verwaltung,1.6,.1,-1.6,1.9,.0,-1.8
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Regierungsstatthalterämter,21.4,8.7,-12.7,18.5,4.5,-14.0
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Führen des Grundbuches,14.5,141.5,127.0,15.1,131.5,116.4
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Führen des Handelsregisters,3.0,4.3,1.3,3.0,4.0,1.0
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Betreibungen und Konkurse,33.2,43.9,10.7,39.6,41.4,1.8
Öffentliche Sicherheit,"Justiz-, Gemeinde- und Kirchendirektion",Verwaltungsinterne Verwaltungsrechtspflege und rechtliche Dienstleistungen,1.5,.0,-1.5,1.7,.0,-1.6
Soziale Wohlfahrt,"Justiz-, Gemeinde- und Kirchendirektion",Differenzierte Jugendhilfemassnahmen,10.2,6.2,-4.0,9.7,4.1,-5.6
Soziale Wohlfahrt,"Justiz-, Gemeinde- und Kirchendirektion",Kindesschutz und Jugendförderung,6.0,.1,-6.0,4.2,.1,-4.0
Soziale Wohlfahrt,"Justiz-, Gemeinde- und Kirchendirektion",Vollzug der Sozialversicherung,1224.3,671.3,-553.0,1139.4,677.4,-462.0
Umwelt / Raumordnung,"Justiz-, Gemeinde- und Kirchendirektion",Raumordnung,11.5,1.2,-10.4,14.3,1.0,-13.3
Gesundheit,Gesundheits- und Fürsorgedirektion,"Führungsunterstützung, weitere Dienstleistungen und verwaltungsinterne Verwaltungsrechtspflege",8.8,.0,-8.8,9.8,.0,-9.8
Gesundheit,Gesundheits- und Fürsorgedirektion,Heilmittelsicherheit / Qualitätssicherung,1.2,.2,-1.0,1.3,.2,-1.2
Gesundheit,Gesundheits- und Fürsorgedirektion,Rechtliche Dienstleistungen,1.6,.0,-1.6,1.6,.0,-1.6
Gesundheit,Gesundheits- und Fürsorgedirektion,Somatische Spitalversorgung,1109.1,.0,-1109.1,1180.2,.0,-1180.2
Gesundheit,Gesundheits- und Fürsorgedirektion,Gesundheitsschutz und Sanitätsdienst,4.8,1.1,-3.7,6.9,.8,-6.1
Gesundheit,Gesundheits- und Fürsorgedirektion,Suchthilfeangebote,23.9,7.2,-16.7,24.3,6.8,-17.6
Gesundheit,Gesundheits- und Fürsorgedirektion,Psychiatrieversorgung ,308.2,132.4,-176.0,318.6,120.0,-198.9
Gesundheit,Gesundheits- und Fürsorgedirektion,Verbraucherschutz,9.0,1.4,-7.6,9.1,1.2,-8.0
Gesundheit,Gesundheits- und Fürsorgedirektion,"Chemie-, Bio- und Strah-lensicherheit",1.1,.0,-1.1,1.1,.0,-1.1
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote zur sozialen Existenzsicherung,341.9,22.5,-319.4,355.3,13.6,-341.8
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote zur sozialen Integration,51.8,.9,-50.9,58.4,.7,-57.7
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote für Menschen mit einer Behinderung und/oder einem Integrationsbedarf,397.1,31.7,-365.5,357.7,20.9,-336.8
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote für ältere und/oder chronischkranke Menschen,308.2,9.6,-298.5,252.0,2.1,-250.0
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Zivil- und Strafgerichtsbarkeit,98.0,42.6,-55.4,82.1,40.2,-41.8
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Verwaltungsgerichtsbarkeit,14.5,1.2,-13.2,14.5,1.3,-13.2
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Staatsanwaltschaft,73.0,41.7,-31.3,69.1,32.4,-36.7
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Justizleitung,1.7,.0,-1.7,2.6,.0,-2.6
Allgemeine Verwaltung,Finanzkontrolle,Finanzaufsicht,4.6,.1,-4.5,5.2,.1,-5.1
Allgemeine Verwaltung,Finanzdirektion,"Personalentwicklung, Gesundheit und Soziales",4.9,.7,-4.2,5.6,.5,-5.1
Allgemeine Verwaltung,Finanzdirektion,Personal- und Gehaltsmanagement,11.8,5.7,-6.2,14.1,2.7,-11.5
Allgemeine Verwaltung,Finanzdirektion,Informatik und Telekommunikation,81.4,.7,-80.6,97.0,.9,-96.1
Allgemeine Verwaltung,Finanzdirektion,Organisationsentwicklung,13.1,.4,-12.7,14.1,.4,-13.6
Finanzen / Steuern,Finanzdirektion,Führungsunterstützung,3.9,.3,-3.6,4.2,.3,-3.9
Finanzen / Steuern,Finanzdirektion,Verwaltungsinterne Verwaltungsrechtspflege,.0,.0,-.0,.1,.0,-.1
Finanzen / Steuern,Finanzdirektion,Voranschlag und Aufgaben-/Finanzplan Kanton,.6,.0,-.6,.6,.0,-.6
Finanzen / Steuern,Finanzdirektion,Tresorerie,7.5,120.5,113.0,7.9,119.0,111.1
Finanzen / Steuern,Finanzdirektion,Finanzausgleich Bund – Kanton / Kanton – Gemeinden,.9,971.5,970.7,1.1,971.0,969.9
Finanzen / Steuern,Finanzdirektion,Dienstleistungen Haushaltsführung,8.6,.0,-8.6,11.1,.0,-11.1
