Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Rechnung 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"Voranschlag 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV
Soziale Wohlfahrt,Volkswirtschaftsdirektion,Arbeitslosenversicherung,"17,526","2,380","-15,146","20,275","1,768","-18,507"
Umwelt / Raumordnung,Volkswirtschaftsdirektion,Schutz vor Naturgefahren,"5,154","1,527","-3,627","6,019","1,394","-4,625"
Umwelt / Raumordnung,Volkswirtschaftsdirektion,Immissionsschutz,"4,962","1,692","-3,270","5,424","1,703","-3,720"
Volkswirtschaft,Volkswirtschaftsdirektion,Führungsunterstützung,"11,084",691,"-10,392","13,728",566,"-13,162"
Volkswirtschaft,Volkswirtschaftsdirektion,Landwirtschaft,"68,404","26,735","-41,670","73,777","27,330","-46,447"
Volkswirtschaft,Volkswirtschaftsdirektion,Natur,"26,189","10,143","-16,046","28,990","10,172","-18,818"
Volkswirtschaft,Volkswirtschaftsdirektion,Staatsforstbetrieb,"12,087","10,234","-1,852","12,016","10,163","-1,853"
Volkswirtschaft,Volkswirtschaftsdirektion,Walderhaltung und Waldbewirtschaftung,"31,007","7,727","-23,280","28,669","6,459","-22,210"
Volkswirtschaft,Volkswirtschaftsdirektion,Tourismus und Regionalentwicklung,"16,541","6,027","-10,514","22,522","6,244","-16,278"
Volkswirtschaft,Volkswirtschaftsdirektion,Wirtschaftsförderung,"11,763",175,"-11,589","11,918",103,"-11,815"
Volkswirtschaft,Volkswirtschaftsdirektion,Arbeitsbedingungen,"7,605","5,095","-2,510","7,919","4,214","-3,705"
Allgemeine Verwaltung,Staatskanzlei,Führungsunterstützung,"6,208",507,"-5,701","6,915",726,"-6,189"
Allgemeine Verwaltung,Staatskanzlei,"Sprachliche Minderheit, rechtliche Dienstleistungen und Aussenbeziehungen","3,892",101,"-3,791","3,779",100,"-3,679"
Allgemeine Verwaltung,Staatskanzlei,Kommunikation,"2,710",36,"-2,673","3,014",28,"-2,986"
Allgemeine Verwaltung,Staatskanzlei,Archiv,"2,760",15,"-2,746","2,899",19,"-2,881"
