Direktion,Massnahme,2014 (in Mio CHF),2015,2016,2017
Gesamte Verwaltung,Zusätzliche Kürzung der Lohnmassnahmen,"64,80","29,00","28,60","28,30"
Gesamte Verwaltung,Teilabschöpfung der Entlastungen der Gemeinden durch ASP 2014,"20,00","20,00","30,00","30,00"
Gesundheit und Fürsorge,Verzicht auf den Aufbau ambulanter Leistungen,"2,96","2,96","2,96","2,96"
Gesundheit und Fürsorge,Streichung des Beitrags an die Zweisprachigkeit der Psychiatrischen Diens- te Biel - Seeland – Berner Jura,"0,15","0,15","0,15","0,15"
Gesundheit und Fürsorge,Anschubfinanzierung ambulante und tagesklinische Psychiatrie,"5,50","5,50","5,50","5,50"
Gesundheit und Fürsorge,Streichung der Mitfinanzierung von Modellprojekten in der Psychiatrie,"1,44","1,44","1,44","1,44"
Gesundheit und Fürsorge,Kürzung der bevölkerungsbezogenen Pro-Kopf-Pauschale in der Psychiatrie,"0,99","1,97","1,97","1,97"
Gesundheit und Fürsorge,Kürzung der Pauschalabgeltung für tagesklinische Leistungen,"0,82","1,64","1,64","1,64"
Gesundheit und Fürsorge,"Streichung der Mitfinanzierung des Aufenthaltes von Personen, die keine
Spitalpflege in einer psychiatrischen Klinik mehr brauchen","6,57","6,57","6,57","6,57"
Gesundheit und Fürsorge,"Erhöhung der Patientenbeteiligung auf Maximalansatz für alle Personen, die
älter als 65 Jahre sind","15,00","15,00","15,00","15,00"
Gesundheit und Fürsorge,"Lineare Kürzung der Nettobetriebskosten bei Behinderteninstitutionen für
Kinder und Jugendliche","5,50","5,50","5,50","5,50"
Gesundheit und Fürsorge,Verzicht auf Unterstützungsmassnahmen im Regelschulbereich,"2,00","5,00","5,00","5,00"
Gesundheit und Fürsorge,"Strukturanpassungen bei den Behinderteninstitutionen für Kinder und Ju-
gendliche","0,00","0,50","1,50","5,00"
"Justiz, Gemeinde und Kirchen",Ergänzungsleistungen: Reduktion des Beitrags für persönliche Auslagen,"9,15","9,15","9,15","9,15"
"Justiz, Gemeinde und Kirchen",Ergänzungsleistungen: Reduktion des Höchstbetrags der übrigen Heimtarife um CHF 10 pro Tag,"6,20","6,20","6,20","6,20"
"Justiz, Gemeinde und Kirchen","Kranken und Unfallversicherung: Zusätzliche Kürzungen bei der Prämien-
verbilligung","59,00","44,00","44,00","44,00"
Erziehung,Kindergarten/Volksschule: Erhöhung des Durchschnitts der Klassengrösse,"4,50","11,00","11,00","11,00"
Erziehung,Kindergarten/Volksschule: Abbau von Unterrichtslektionen,"6,00","14,50","14,50","14,50"
Erziehung,Schliessung der Gartenbauschule Hünibach,"0,80","1,20","1,90","1,90"
Erziehung,Schliessung der Gartenbauschule Oeschberg,"0,00","0,50","1,40","2,40"
Erziehung,Entlastungen bei den Lehrwerkstätten Bern,"0,00","0,30","3,00","6,80"
Erziehung,"Pädagogische Hochschule: Aufgabe der Ausbildung für die Vorschul- und
Primarstufe an der NMS Bern","0,50","1,00","2,00","2,50"
Erziehung,Einschränkung des Angebots der Erziehungsberatung,"0,00","1,50","1,50","1,50"
Erziehung,Berner Fachhochschule: Standortkonzentration „Ein-Standort-Strategie“,"0,00","0,00","0,00","0,00"
Erziehung,Berner Fachhochschule: Aufgabe des Standortes Burgdorf,"0,00","0,00","0,00","0,00"
"Bau, Verkehr, Energie",Umstellung verschiedener Bahnlinien auf Bus,"0,00","0,00","2,00","2,00"
